Scott Sunderland
Karci Brown
Jason Myrick
Mary Chris Wall
Opal Bush
Kettle Rochelle
Sheila Sant'anna
Daniella Maderas
J.Pat OMalley
Brian Roper
Eleanor Coppola
George Lucas
John Milius
Arthur Jurado
Barbara Morrison
Phillip Ober
Roy Barcroft
James Mitchell
Bambi Linn
Michael Andersen~jr
Barrie Ingham
Anton Rogers
Vernon Dobtchef
Natasha Pyne
Paul Hardwick
Natasha Peryy
Antionio Pierfrederici
Esmeralda Ruspoli
Roberto Bisacco
Kenneth Cranham
Justino Diaz
Katia Ricciarelli
Petra Mlakova
Helena BonhamCarter
Charlotte Gainsborough
Anna Kaplan
Ellen Macpherson
Samuel West
Edward deSouzo
Judy Dench
Charlie Lucas
Baird Wallace
Tueday Weld
Martin West
Gilber Adler
John Kassir
Vincent Linden
Mathilde Seigneur
Donahue McBride
Frank Fay
Leonore Lonergan
Amelia Shankley
Nicola Cowper
Caris Corfman
Suzanne Browne
Kristi Ducati
Meriah Naipaul
Rick Gerzon
Sam Cers
Larry deRussy
Marjorie Gat3eson
Donald Cook
Robert Kennedy
Dorothy Jordan
Marjorie Peterson
Paige OHara
Richard White
David Ogden Stears
Jo Anne Worley
Peobo Bryson
Jonathan Ward
Johnny Clegg
ToneLoc
Jarl Kulle
JeanPhillippe Lafort
Hanne Stensgard
Vibeke Hastrup
Gudmar Wivveson
Larence Dane
Malcom mcGregor
Hugh Buckler
Lumschott Hare
Fred McLaren
Cecelia Parker
Helena Phillips Evans
J. Kerrigan
Dan Barrett
Phillip Donegan
Adrian Mars
Graim Williams
Ina Hunter
The Wilde~Twins
Francis Dade
Phoebe Foster
Alexander Kirkland
Brooks Benedict
Eddie Anderson
Bramwell Fletcher
Violet KembleCooper
Alan Mobray
Madge Evans
Violet Kemble Cooper
Una Oconnor
John Buckler
Virginia Hammond
Elizabeth Aallan
Lucille Watson
Florence Nash
Emil Rameon
Leueen McGrath
Dan Budge
Gussie Moran
Babe Didrikson Zaharias
Marita Hunt
Alex Davion
Lyndon Brook
Frankie Vaughn
David Burns
Dan Martin
Walter Burke
Steven Hill
Matt Frewer
Joseph Dain
Joe Dain
Chris Taaffe
Laura Herrring
Barbara Brighton
Kid Creole and the Coconuts
Angela Moya
Stan Lloyd Williams
John Leysen
Philippe Volter
Kevin Spacy
Our Gang
Marjorie Woodsworth
Dennis OKeele
George McReady
Joan Weldon
Olin Howard
Sandy Desch
Willis Bouchey
Robert Ellis
Don Kelly
Carol Baker
Vam Heflin
Slim Pickins
Jean Hale
Rober Duvall
Claudio Brook
Mimi Sorvino
Mike Katz
Franco Columbu
Louis Ferrigno
Robin Hurt
George Butler
Theodore Roosevelt
Tyssen Butler
Kathleen Klemont
Anthony deLonghis
Stephen Mendel
Arne Olson
Jan Jacklin
Real Andrews
Ekkehard Anders
Charles Seixas
Suzanne Serano
Isabelle Jamieson
Mike Ballew
Neill Barry
Bruce Seton
Eve Lister
Stella rho
Ben Soutten
Keith Jochim
Carel Struyker
Zack OMaley Greenburg
John Cromwell
Madge Subanski
James Cosmo
Roscoe Lee Brown
Michael Coby
Carolyn Seymor
Sue Lloyd
Pamela Salem
Charles tingwell
Muriel Pavlov
Gerald Cross
Conrad Phillips
Kathy Ireland
Joseph Allen~jr
Dorothy Lovett
Richard Crane
Faye Marlowe
Martha Stewart
Ror Roberts
Judith Ivy
Wyndham Standing
Coleen Moore
Burr McIntosh
Ramon Novorro
Rafael Ottiano
Reginald Mason
Theodore VonEltz
Ti Robbins
Weird Al Jankovic
Louis diBianco
Fran Dresher
John McGinley
Jeremy Piveb
Nipsy Russell
Tone Loc
Gloria Talbott
Ken Lynch
Yvonne Lime
Ed Platt
Anette Benning
Faith Prince
Anne Twomey
Sandra Church
Kukrit Pramoj
Shoba Sen
Utpal Dutt
Don Pedro Colley
Johnny Weissmuller~jr
Mackenzie Philips
Joe Spano
Jake Lloyd
Ian McDiarmid
Hayden Christensenn
Christpher Lee
Dexter Jettser
Armando Araiza
Patricial Riviera
Eva Bartok
Eddie Constantine
Melina mercouri
David Jansen
Daniel Pollock
John Spencer
Jane Wenham
Shirley Bassey
Marella Oppenheim
John Mohanney
Shaunessey s a
Alfre Wooodard
Andy Braugher Bucher
Stanley Anderson
J.C. Nugent
E.Alyn Warren
Edward Woiods
Father John Grosner
David Ward
Basil Burton
Kiri Paramore
Trini Alvorado
Ciaran Hinds
Mwlvyn Dougls
Dorothy Stickney
Arlene Arbus
Marilyn Sokol
Helena Dryden
Maria Mercader
David Reynoso
Armando Silvestre
Girish Karnad
Larisa Oleynik
Larry Miller
Daryl (Chill) Mitchell
Alice Pearce
Madge Blake
Katherine Kath
Gabrielle Dorzat
Jean Lefebvre
Jaques Marin
Marianne McAndrews
E.J. Parker
Tommy Tune
Elaine Devry
Sue Anne Langdon
Arch Johnson
Broncho Billy Anderson
Arthur Mackley
Brisnley Shaw
Frederick Church
Maria Dea
Samuel B. Hinds
Corinne Calvert
Robert Gentry
Zeljko Ivanek
Leilani Ferrer
Fred Dalton Thompson
Sarah Bennett
Kristin Griffith
Rosemary D
Tom Butler
Betty Gerritt
Edwige Feulliere
Bernard G\"otzke
Paul Bildt
Rudolf Biebrach
Ralph Ludwig
Alfred Grosser
Margot Misch
Paolo Martens
Ermete Novelli
Olga Giannini Novelli
Francis Blanche
Roger Jendly
Ingrid Hell
Annabel Chong
Edgar bergen
Charlie McCarthy
Helen Jepson
Elfa Logan
Charles Winneger
Warrem Hymer
Jack Caron
Mary Hatcher
DeForrest Kelly
Glen Tryon
George Pal Puppetoons
Cecil B. deMille
Mitchell Leisen
Goerge Marshall
City Slickers
Angela Clarke
William Ching
Guy Mitchell
Patricia Crowley
Cass Daley
Reginal Owen
Joanne Gilbett
Laurel Goodwin
Charles Clary
Carlos Villarias
Lupita Tovar
Jacqueline Logan
Sigrid Holmquist
Mabel vanburen
Luke Congrave
Kate Winslett
Carrie Mullan
Bella Riza
Alison Rutledge
Peter Smith
William Petersen
ChristianBradley Whitford
Jonathan Banks
Erik Stoltz
Josh Thornton
Ita Rina
Karel Schleichert
Olaf ford
Theo Pistek
Aribert Mog
Jaromir Rogoz
Leopold Kramer
William gargan
Mauritz Hugo
Al Waxman
Darlick Dempsey
Isabelle Mears
John Hawkins
Miguel Fernandez
Cindy Girling
Elizabeth Shepperd
Enrico LoVerso
Valentina Scalaci
Giuseppe Ieracitano
Dick vanPatten
Sorrell Brooke
Dawn ODay
Murray Kinnell
Gertrude Messenger
Hilda Vaughn
June Preston
Jack Albertsob
Pamela Austin
Mary Ann Mobley
Fran Jeffries
Billy Barty
Daran James
James Olsen
Ernest Borgnone
O.z. Whitehead
Alastair Williamson
Hillary Dwyer
Oh! Ogunde
Michael Gothard
Judy Huxtable
Amen Corner
Essy Persson
Sally Geeson
Ray Winstone
Kathe Burke
Charlie CreedMiles
Laila Morse
Edna Dore
Diane Wynyard
John Forrest
Sylvia Monti
Raymond Gerome
Maurizio Vega
Aldo Parodi
Patricio Riveadeneira
Dimitrje Vosnov
Veleska Gert
Agnes Esterhazy
Franz Lederer
Alice Roberts
Gustav Diessl
Goetz
Alid Robida
Rudolf Forster
Caroline Neher
Ernst Busch
Elizabeth Wendt
Val Kimer
Charles Gioffi
Joseph Masgold
Rosalind Miles
Marilyn Hamlin
Mike Dytri
Craig Gilmore
Darcy Marta
Johanna Went
Kevyn Major Howard
Leslie Bevis
George Jeneky
Rober Aaron
Tony Simotes
David Hemmimgs
Irena Cashen
Cameron Milzer
Micole Mercurio
Olaf Pooley
Jason Fleming
Steve Markin
Tony Francioso
Bibi Osterwald
Jocelyn laGarde
Anthony Dexter
Kennth Mars
Robert Reford
Bo Brundin
Bhilip Buruns
Allan Nicholls
Yvon Barrette
Thelonius Bernard
Yorgo Voyagis
Italia AlmiranteManzini
Annibale Betrone
Alfonso Cassini
Franz Sala
Anna Mears
Pat McNamara
Beccky Lee Meza
Constance Marie
Seidea Lopez
Cecil Callaway
Louis Prima
Susan Hatward
Beverly Whitney
George Ratoff
Cornell Borchers
Bruni Lobel
Mamie van Doren
Reilly
Peter Turgeon
Robert Patten
Maurce Evans
Brewster Mason
Malco Keen
Jason Robards~sr.
Maggie King
Pamela Brown
Tom Poston
Marian McCargo
Kristina Holland
Ernest Thompson
John Harkins
Priscilla Morrill
Louis Schaefer
Charles Aidman
Gary Sinisi
Tommy Smothers
Casey Siemaszko
John Terry
Tick Hellings
Read Morgan
Don DeFore
Madge Kennedy
Gail Bonney
Robert Kasner
Arthur Malet
Jesslyn Fox
Allan Jenkins
Mark Frankel
Jason Isaccs
Anette Croserie
Helen Lederer
Artie Lang
Mary Shelton
Gary Cromwell
Marsha Feher
Johanna TerSteege
BernardPierre Donnadieu
Nancy Taw
Jenny Jones
Maxine Lapiduss
Sandra Shamas
Joy Behar
Lotus Weinstock
Charles Grapwin
Chief Thander Bird
Bert Wheeler
Robert Woolsey
Fred Keating
Betty Furness
George Metaxa
Joan Fountaine
Reginal Gardiner
Ray Noble
Frances Mercer
Franklin Panghorn
Abner Biberman
Edgar Bergen
Peggy McIntyre
June Hedin
Keefe Braselle
Gusti Huber
Douglas Spencer
Charles Braswell
Hank Henry
Jose Iturbi
Sharon McManus
Carlos Ramirez
Willard Parker
Tommy Rall
Jeanne Coyne
Claude Allister
Bobby Sherwood
Cyril Richard
Penelope Horner
Elaine Taylor
Bob Monkhouse
Eric Barker
Amanda Barrie
Charles Hawtree
Brandon Hammon
Vanessa L. Williams
Phillipe Noiret
Salvatore Cascio
Jacques Pennino
Antonelli Attile
Pupella Maggio
Marcelo Mastroianni
Noma Martelli
Marino Cenna
Sergio Castellito
Lacey J. Dalton
David Allen Coe
Bartalomeo Pagano
Pauline Polaire
Elena Sangro
Lucia Zanussi
Franz Saal
Umberto Guarcino
Mario Saja
Felice Menotti
Andrea Miano
Kim Vithani
Jimmi Harkishin
Sarita Khajuria
Karin Kavli
VictorSjostrom
Gerard Barray
Vicky Lewis
Eric Christmas
Camille Soeberg
Victoria Jackson
Jerry Levine
Mary Gross
Andrew Dice Clay
Tim Streeter
Doug Cooeyate
Ray Monge
William S.L. Burroughs
William Richert
Udi Kier
Roseanne Arnold
Robin Wiiliams
Stellan Skarsgaard
Ane Heche
Gosta Ekman
Karin Swanstrom
Bjorn Berglund
Hakan Westergren
Ingrid Bergmansr
Inga Tidblatt
Britt Hagman
Tore Svenberg
Georg Rydeberg
Goran Bernhard
Kotti Chave
Tutta Rolf
Elsa Burnett
Edvin Adolphson
Aino Taube
Olof Sandburg
Fay Helm
George White
Lyda Roberts
Arline Judge
Lois Calhern
Ed Baigley~jr
Kimberly McArthur
Tessa Richarde
Jaime Lynn Bauer
Stacy Keach~sr.
Jane Morris
Terrence McNally
George Dzundis
Laurie Metcalf
Maria Pitelli
John Pinette
Heather Metarazzo
Caroline Goodall
Robert Schwartzman
Lana Thomas
Beth Anne Garrison
Willy Brown
Lori Sigrist
Terri Sigrist
Josephine Earle
M. Peter
Rodney Aukland
Lillian Braithwaite
Alfred Goddard
Barbara Gott
Brandy Walker
Stuart Hall
Trilby Clark
Jack Raine
Harvey Braban
ex-sergeant H. Jones
Marie ONeill
Amy BrandonThomas
Leon M. Lion
Hindle Edgar
no\_actor
John Miller
Emile Borea
Sally Stewart
Phillippe Leaver
Zelma vanDias
Charles Oliver
Kathleen Tremaine
Horace Hodges
Morland Graham
Edwin Greenwood
Jeanne deCasalis
Mabel Terry Lewis
A.Bromley Davenport
Charles Waggenheim
Barbara Pepper
Francis Carson
Emery Powell
Edward Conrad
Ror Gordon
Gertrude Hoffman
Martin Lamont
Barry Bernard
John Burton
Patricia Farr
Auriol Lee
Allan Baxter
Charlie Bates
Janet Shaw
Estelle Jewell
Jean Acker
Donald Curtis
Alex Minotis
John Tetzel
John Goldsworthy
Lester Matthew
Pat Aherne
Colin Hunter
Edith Evanson
Douglas Dick
`Villette'
Royal Dono
Mogens Wieth
John Heldabrand
Doreen Lang
Norma Connolly
Lola DAnnuzio
Robert Essen
Kippy Campbell
Charles Cooper
Esther Miniciotti
Laurinda Barrett
Eve Marie Saint
Bob Sweeny
Barbara Leigh-Hunt
Alec Mccowen
Frances Bavier
Ray Montgomery
John Gallaudet
Aaron Spelling
Tita Purdom
Jerry Barcley
Irene Lang
Eloise Hardt
Louise Larabee
Norman Leavitt
Marianne Stewart
Charles Webster
Nick Nicholson
Therese Lyon
Mard Dunn
Allan Lane
Phillip Bournef
Ralph Clinton
Owen Cunningham
Michael Hadlow
William Hughes
George Pelling
Barry G. Harvey
Ben Asta
Harold O. Dyrenforth
Frank Holms
Eilleen Anderson
Otto Reichow
Maidia Norman
Sally Hughes
Percy Heston
Mike Ragan
Elroy Hirsch
Dolores DelRio
Lupita Ferrer
Paaul Lukas
Peter Mullins
Ursula jens
Elspeth March
George Thorpe
Frank Celier
Gerald papasin
Joanna
Beverly dAngelo
Imogene Coca
Miriam Flynn
Dana Barron
Brian Dole Murray
Christie Brinkley
Roger Clinton
Andie McDowell
Chris Elliott
Billy Chrystal
Neil Pepe
Tony Bennett
Vivian Pickles
Robert Towne
Nance Allen
Julie Christy
Mary McDonough
Kenneth Thomson
Mary Doran
Eddie Kane
William Blakewell
Russell Hardie
Dick Gregory
Christina Estabrook
Bebe Neuwith
George C. scott
Tony Franciosa
Miko Hughes
Thomas Beck
Margaret Irving
Nedda Harrigan
Guy Usher
Maurice Cass
Tom McGuire
Dorothy Dearing
Pat McKee
Don Defoe
Rickie Sorensen
Jean Craine
Kathleen Widdoes
Charles Bryant
Buster keaton
Beulah Booker
William Walsh
William E. Shay
Edmund Mortimer
Lewis Hooper
Francis Smith
Leah Baiurd
Mrs.~Allen Walker
Millie Eisten
Katherine Lee
Herbert Brenon
Mary brian
Cyril Chadwick
Alice Joyceinnocent girl, left behind
Lester Vail
Irine Rich
Sholom BarAba
Iret Scheleg
Ofra Veingarten
Jack Hedley
Sian Philllips
Alison Leggatt
Leslie Bricuse
Ian MacShane
Georgia Browne
Leslie Browne
Vernel Bagneris
Robert Fitch
Jay Gardner
Gail Strickland
Cliff deYoung
Andr\'e Gregory
Grainger Hines
Dylan Medermont
Tom Arnold
Matt McConnaghy
Jerry Reamer
Mathias Freihof
Dirk Kummer
Tom Simcox
Shepperd Strudwick
J.M. kerrigan
Lew Fields
Alan Carney
Gower Champion
Margeret Rutherford
Diane Ellis
Danielle Darrieaux
Andre Luguet
Julien Carette
Suturnin Fabre
Dalio
Lino Vertus
Pierre Louis
Simone Sylvestre
Goetz George
Bakary Bamba
Tchelley Hanny
Pixote
Jorge Juliao
Marilia Pera
Fatima deToledo
Diane Verona
Rul Polnanah
Bekana Santos Kaiapo
Edinei Maria Serrio DosSantos
Elias Monteiro daSilva
Dabbs Greer
Jim Haglon
John Compton
Horst Erhardt
Ralph Moody
David Saber
Rudy lee
Kathleen Hartnagel
Norma Leavitt
Constance Ford
Howard Townes
Alfred Linder
Paul Langton
Jimmy Gleason
Don Hmaner
Bobby Ellis
Lisa Golm
Joan Banks
Johnny Silver
Charles Davis
Frederic Warlock
Pamela Light
Marian Lorne
Dorothea Lord
Stephen Bekassy
Norman duPont
Wilton Graff
Sheila Bromley
Natch Kennedy
David McMann
Josie Lloyd
Julie Payne
Nehemiah Pershoff
Jesse Royce Landis
Susan Gordon
John Larch
Diane Brewster
Peter Ronson
Chil Wills
Moore marriott
Vera Frances
Leigh Ann Conley
Phil Fondacaro
Robert Pastorelli
Norman D. Golden~II
Oscar Asche
Mary Ney
Frederick Domin
Justin Chadwick
Emer McCourt
Charles Dullin
Pierre Fresney
Pierre Larquey
Michel Auclair
Paul Meurisse
Pablo Picasso
HenriGeorges Clouzot
Oyafunmike Ogunlano
Mutubaruka
Alexandra Duah
Robert Dane
Johnny Close
Connie Mason
Thomas Wood
Jeffrey Allen
Pleasant Valley Boys
Rosemary DeCamp
William Hanney
Roscor Karns
Louise Closser
Rollo Lloyd
Tala Birnell
Geoge Irving
Victor Killian
John Carrol
Abner Bieberman
Alan Rein
Dolores Moran
Charles D. Brown
Peggy Knudsen
Sonia Darren
J.Edmund Bromberg
Ludwig Stoessell
Bennie Goodman
Lionel Hampton
Mel Powell
Marion Marshall
Randy Stuart
Ricky Nelson
Charlotte Granville
Sir Guy Standing
Davidson Clark
Dick Rich
Frederick Burton
Chief Big Tree
Ralph Dunn
Charles grapwin
Vivian Blayne
B.S. Pully
Lydia St.Clair
Kazi Orzazewski
Betty Garde
Cedric Hardwick
Jessica tandy
Desmond Young
Casey Adams
Don Megowan
Kurt Kazan
Sonja Moser
Brigid Bazlen
Kaz Garas
Gabriella Licudi
Eugene Dekkers
Pat Quinn
Robert F. Lyons
Susan Tyrell
Alex dArcy
Carl Betz
Hans Hermann Schomburgk
John Darrow
Lucien Prival
Amanda Duff
Robert Lowey
Eddie Marr
Harry Woods
Kyoko Kishoda
Rentaro Mikuni
Orson Wells
Maggie Jacobson
Gwen Wells
Melany Winter
David Buchowsky
Harvey Miller
Milos Foreman
Nelly Alard
Lisa Richards
Frances Bergen
Marlena Giovi
Daphna Kastner
Matt Salinger
Noel Harrison
Rosaura Revueltos
Gina Roman
Manola Fabregas
Richard Coleman
Rocelle Hudson
Edward Trevor
Russell Simpson
Freddie Bartolomew
Ruth Terry
Robert Arthur
John Kellogg
Virginia Gregg
Brad Dexter
James Saxon
Dani Crayne
Coleen Miller
Josephine Hitchinson
Julia Meade
Deanna Burbin
Deanna Durbin Schell
Bob Cummins
Margaret Tallichet
James Todd
J.M. Kerrigan
Phil Brown
Lotetta Young
Monty Wooley
Reginald Gardner
Fred Kalmar
Faion
Brigite Bardot
Cindy Carol
Eva gaobor
Massimo Serrato
Myoshi Umeki
James Soo
Laura Peter
Danielle Oimet
Henry R. Lang
Andrea Rau
Bruce Cowling
Thomas Guiry
Jon Tenney
Fredric Forrest
Gaylord Lloyd
Milred Davis
Gus Leonard
Harry `Snub' Pollard
Noah Young
Jim Riggs
Adrienne Shelley
Christopher Cooke
Julia Mueller
John MacKay
Gary Sauer
Eddie Falco
Merritt Nelson
William Sage
Karen Silas
Constance Dowling
Philip vanZandt
Clare Wren
Glen Berry
Dom DeLouise
Bob Tessier
Brock Yates
Hal Carter
Dudley Remus
Jim Lewis
Lois Areno
Janet Woytak
George Furth
Rick Aviles
Tara Buckman
Joe Klecko
Norman Grabowski
Richard Losey
Jimmy "the Greek" Snyder
Preston S. Foster
Jon Cryer
Dann Florek
Philip Bosco
Kathryn Grody
Bob Ebbett
Robert Joseph Paul
Evelyn Kraft
Lee Hassen
George Babier
ZaSu Pitts
Reed Haley
Stuart W
Tom Duggan
Jana Lund
Herbert Edelman
Whitman Mayo
Jamers Gregory
Macaulay Caulkin
Anna Chlumsky
R.Bolla
Chief Yellow Robe
Chief Long Lance
Chief Akawanush
Spotted Elk
Cheeka
Bruce Martyn Payne
Brandan Hughes
Michele Matheson
Sean Gregory Sullivan
Antonio VFargas
Carl Linley
Jered Barclay
Eve Olivietti
Joseph Schildlraut
Otis Harlan
Elsie Bartlett
Jack MacDonald
Neely Edwards
Jane LaVerne
Tess Gardella
Jules Bledsoe
Florenz Ziegfeld
Carl Laemmle
Christopher Guard
Laurence Guittard
Georges Wilson
Jacques Harden
Karin Baal
Ruth Hellberg
Carol Landis
Daliah Levi
William `Stage' Boyd
Claudia Dell
Johanna Schall
Thomas Ruchel
Udo Kroschwald
Charles Fredericks
Richard Reeves
Zippy
Eanda hendrix
Gitty Daruga
Hannes Schmidhauser
Erwin Strahl
Hans Grimm
Ruth vonHagen
Chris Young
Parliament Funkadelic
Jess Hahn
John Roselin
Ed Koch
Francoise Arnoul
Francoise Arnaud
Jaqueline Scott
Bruce dern
Maggie Pierce
Thierry LHermite
Ludwig Briand
Anthony Steele
Harold Blankenship
Jerry Adler
Percy Parsons
Lewis Casson
Michael Laurence
A.E. Mathews
Guy Kibbe
Carl 'Alfalfa' Switzer
Vicky Lane
Amelita Ward Cowan
Lou Gottlieb
Laura Devon
Dom Ameche
Lynn Holly Johnson
Helen Cherry
Billy ob Thornton
Jack Skellington
Laurie Heineman
Norman Burton
Tracy Brooks
Gary Maas
Claude Lelouche
Robin Bartlett
Karina Arogaven
Beverly Todd
Alan north
Lyme Thigpen
Noriyuki `Pat' Morita
Robyn Lively
Sean Kanan
Jonathan Avildson
Christopher Paul Ford
Estelle Getty
Ernest Sefton
Ann Baxter
Scott Mckay
Maru MacDonald
Sam Buffington
John diSantis
David Carlile
Buzz Merten
Dick Nelson
William D. Kruse
Tyler McVey
Donald Buka
Irene Tedrow
Ted Livesey
Irene Windust
Bartlett Robinson
James Mulhollin
John Ragin
Al Hodge
Sam Gilmore
Katherine Squire
Stanley Adams
Ray Matheson
Roger Perry
Laurie Mock
Paul Bertoya
Gene Kirkwood
Mickey Rooney~jr.
Karen Lynn Gorney
Joseph Cail
Paul Papa
Bruce Ornstein
Donna Pescow
Ann Travolta
Trevor Eve
Larry B. Scott
Nancy Mulford
Ken Gampo
Candice Hildebrand
Dennis Casey Park
Mathew Stewardson
Nadia Bilchik
Brian OShaugnessy
Gordon Mulholland
Mark Owens
Peggy Feury
Erno Crisa
Benicio delToro
Calvin Lockart
Glenna Foster Jones
Graham Crowden
James Dickey
Nicholas Clay
Paul Geoffrey
Charley Boorman
Maria Doyle Kennedy
Angeline Ball
Cal Kuniholm
58 Plymouth Fury
Marshall McKean
Barry Kivel
Rip Haight
Stacey Keach
George Corraface
Clift Robertson
Maximilan Schell
Tim Guinee
Linda Koslowski
Hector Ubarry
Diane CrittendenForast
Ralph Theodore
Charles Brown
Al StJohn
May Boley
Stanley Fields
Oscar Apfel
Scott Kolk
Willam B. Davidson
Jimmy Finlayson
Judith Wood
Carol Lombard
Dorithy McGuire
Herbert Marsall
Mildred Narwick
Lizbeth Scott
Dennnis OKeefe
Fay Baker
Hugh Hurd
Anthony Ray
Lynn Carlin
Katherine Cassavetes
Ben Gazarra
Tony Brubaker
Alexandra Cassavetas
Joan Whalley
J.F. Walsh
Craig Healy
Lina Fiorentino
Gretchen Mol
Greg Bensen
Ian Cochran
Olivia dAbo
Joe Lara
Les Damien
Donald Trump
Sally Forrest
Dorothy Adsams
Wheaton Chambers
Rita Lupino
Kenneth Patterson
Joseph Kearns
Lupino
Dahlia Smith
Howard Nee
John Bell
Sinan Leong
Thandiwe Adjewa
Claudia Robinson
Rowena King
Hugh Grant
Portia deRossi
Kate Fisher
Mark Gerber
Michael Gwynn
Tsai Chin
Jordan Christopher
Jill OHara
William redield
Brian Jackson
Joe Harris
Ted Brooks
Winifred Westover
J.Farrell McDonald
Charles LeMogun
Gladys Hulette
Chief White Spear
Delbert Mann
Arhur Hole
Arthur Bryon
Etienne Giradot
John McGuire
Joyce Kay
Douglas Wood
Shirley TEmple
stone
Roger Imhof
Midred Natwick
Zelfie Tilbury
Cathy Down
Eileen Crowe
Harry Carey~jr
Peter Mamokos
Olive Carey
Pat Obrien
Lee Allen
Ann Bancroft
Sue Lyons
Iris Wong
Tala Birell
Luis vanRooten
Alexander Pope
Helene Thimmig
Wiliam Bendix
Susana Canales
Anne Harding
James rennie
Harry Bannister
Ben Hendricks~jr
Suzanne Flon
Jean Moreau
Laurence deMonaghan
Lea Massani
Robert Trebor
John Pankow
George Murcell
Amy Hargreaves
Jamie Marsh
T.Ryder Smith
Katerina Witt
Skipp Sudduth "Larry"
John RhysDavis
Caroline Bliss
Anthony Staker
Wayne Newton
Grand L. Bush
Mantagu Love
James Cagney
Leo Gann
William Franklyn
June Thorburn
John Phillips
David Buck
Maggie Kimberley
Linda Hayes
Don Dillaway
Clay Clement
Fred Niblo
Normand Fateux
Jai
Gajendra
Mark Dana
Ren\'e Auberjonois
Simon McCorkindale
Keenan J. Wyams
Elisha Cook~Jr.
a s
Murray Alper
s.a.
Chester Gan
Kam Tong
Manuel Donde
A.Soto Rangel
Barry Keyy
Bill Mauldin
Arthur Hunnicut
Colette Marchand
Marco Tulli
Friedrich Ledebur
Edric Connor
Lilian Gish
Marietta Tree
Ralph Roberts
Estelle Winwwod
Dlive Brrok
Jacques Roux
Walter Tony Huston
Zorro David
Curtis Cokes
Art Aragon
Nicholas Colosanto
Jack May
Bobby Moore
George Mikell
Lois deBanzie
Donal McCann
Kim Burfield
Rik Battaaglia
Kerrie Keane
Helen Hughes
Erin Flannery
John Irland
Emelio Estevez
Anhony Michael Hall
Alisan Porter
Gordie Schnorrer
Bill Dancer
Bruce Carlisle
Marshall Bradford
Jean Howell
Bruno VeSota
Jan Francis
Anthony Barille
Adrian Dunbar
Uma Turman
Cartier
Allessandro Gassman
Gary Brakewell
Chris ONeil
Johnny Lee Miller
Jess Bradford
Linus Roche
Michael Gambin
Amir Khan
Ajay Devgan
Juhi Chala
Johny Lever
Arch Hall~jr
Marilyn Manning
Helen Hovey
Richard Alden
Don Russell
Ben Piazza
John Landis
Kristin Holby
Ornella Mutti
Martin Ferrero
Shari Headley
Allison Dean
Madge Sinclair
Paul Bates
Sheila Johnson
Jake Steinfeld
Clint Smith
Eriq LaSalle
Vodie CurtisHall
Elaine Kagan
Samuel L. Johnson
Garcelle Beauvais
Feather
Stephanie Simon
Louie Anderson
B.B. King
George Rowe
Jose GonzalesGonzales
Diane Webber
Vicki Kantenwine
Nani Morisey
Judy Edwards
Jean Carroll
Timothy Carl Carol?
Thelma? Randle
Milton Winston
Dorotha Segda
Oleg Jankowski
Katie Roiphe
Camille Paglia
Elizabeth Marshall Thomas
Lancd Henriksen
Tim Gabrille
Livia Rosso
Harris Stern
Nadia Neri
Claire Williams
Herbert Nofar
Ann Zarno
Tony Scopoleto
Deidre Holland
Ashlin Gere
John Dough
A.J. Sparxx
Brenda Blethlyn
Pauline Flanagan
Stan Egi
Bill Conolly
Antony Sher
Geoffrey Palmer
Martin Clunes
Imelda Staunton
Sandra Reinton
Mark Williamson
Steven Beard
Anthony Sher
Paul Bigley
Jill Baker
Nicholas lePrevost
Darren Dalton
Phil Yarnis
Raymond Guth
Tracy Arnold
Kathy baker
Sarah Trygger
Dale Dye
Dannon Martin
Tony Eppley
Don Collier
Paul Weigel
Shirley Casey
William Bakeswell
Arletta Duncan
James Donlan
Robert McWage
Fredi Washington
Noel Francis
Hazel Washington
Theodore vonEltz
Arthur Treacer
Barbara ONeill
Monty Wooly
Jaenne Crain
Mary Phillips
Reginal Veljohnson
Alexander Godonov
Rita Firt
Jeffrey Gere
Skeggs
Fred Dalton
Courtney B. Vance
Timmerman
Maria Shriver
Renee Leary
Ilona Margolis
Douglas Seale
Linda Larkin
Bobcat Goldwath
Adrian Hoven
Nial McGinnis
Dave King
Brian Hall
Stephen Davis
Austin Green
Henry Daniel
MajBritt Nilsson
Birger Malmsten
Stig Olin
George Funquist
Anita Bj\"ork
Victor Sjostrom
Ingrid Thullin
Naima Wilfstrand
Julian Kindahl
Maud Hansson
Gertrude Fridh
Bj\"orn Belvestam
Ake Fridell
Naima Wifstrand
Lars Ekborg
Bengt Ekerod
Brigitte Valberg
Brigitta Petterson
Jorgen Lindstrom
Bibi ASndersson
Aino TaubeHenriksson
Halvar Bjork
Gunn Wallgren
Ewa Froeling
Jan Malmsjoe
Boerje Ahlsted
Pernilla Wallgren
Allan Edwall
Pernilla Allwin
Bertil Guve
Kevin Sorbo
Johnny Morina
Lise Roy
Greg Thomey
Alain Goulem
Charles Robinson
Carole Eastman
Raven Gray Eagle
Jo Helton
Patricia Brake
Adrienne Burnett
Brune VeSota
David Hutchinson
Finlay Curry
Derrick deMsrney
Gr\'egoire Aslan
Dee Snider
Kata Capshaw
Davis Ogden Striers
Anne Jeffries
Skelton Knaggs
Milton Parsons
E.L. Park
Luana Alcaniz
Mona Rico
Rita LeRoy
Richard Tucker
Earl Pingree
Rafaela Ottinao
