Scott Sunderland
Pat Hitchcock
Helen Conrad
Eddie Foy~jr
Robert Bray
Wendell Holmes
George Munroe
George Mitchell
Arlene McQuade
Robert Kelljian
John Zaremba
Joe Julia
Ralph Smiley
Scott McKay
Antoinette Bower
Lillian OMalley
Leon Lontok
Diana vanderVlis
James Best
James Gardner
Richard Libertini
Penny Peyser
Nancy Dussault
Bob
Ray
Joan Severance
Louis Giambalvo
Kisten Childs
Alan North
Benny McInery
Trini Alvarado
Kelly McGinnis
Ryan ONeil
Whoopi oldberg
Robert Shapiro
Fernando Lujan
Marisa Paredes
Kristy Swenson
Kits
Virginia Brissac
Lewis Howard
Jane Frazee
Sumuel H. Hinds
J.Edward Bromberg
Jane Farrar
Gale Sondergard
Hoyt Aston
Lita Milan
Nester Paiva
James Congdon
Angie Dickenson
Patty Duke (Astin)
Patty Inga Svensen
Andrew PIne
John Laroquette
Edward Ruscha
Patrick Bachau
Ann Magnusson
Jonny Lee Miller
Donald Dillaway
Marian Nixan
Hume Cronin
Hobart Cavenaugh
Leonard Strong
Wallis Clark
Jack London
Michael Kearney
Gary Cole
Jennifer Elise Cox
Jonathan Taylor
Cary Elwes
Dona Spei
Carolyn Lin
Roberta Vasquez
Cynthia Brimhall
Erik Estrada
Stephanie Schick
Stig Jarrel
Mai Zettering
Luke Edwards
Ashley Crow
Timothy Busfield
Bill Boyd
Fred Kohler
Gonger Rogers
Hobart Bosworth
Walter Percival
Eddie Chandler
Gladys Coioper
Cecelia Loftus
Kiranmala
Tomba
Manbi
Dhiren
Ashok Kumar
Rakhee
Sharad Kapoor
Anders Norberg
Kjell Sucksdorff
Arne Sucksdorff
Jacques Denis
Raymond Bussieres
Myriam Mezieres
Aziz Khabouch
Benoit Regent
Jeremy Davis
James Frein
Rebacca Smart
Wadeck Stanczak
Nicolas Giraudi
Claire Nebout
Elodie Bouchez
Didier Bezac
Laurence cote
Anjelica Houston
Megan Dodds
Tom Felton
Randolph Kim
Gel Li Parmaren
Keely Smith
Randy Sparks
Peter Breck
Carl Schenstrom
Clara Wieth
Robert Dinesen
Julie Hendriksen
Mel Wells
Stanley Clements
Jaques Demy
Tony Aguilar
Roman Gabriel
Jin Hutton
Katherine Ross
Bruce cabot
Heinz Drache
Ady Berber
Sabine Sesselman
Lillian Hellman
Barbara Steisand
Billy Wilder
Alex vanWarmerdam
Olga Zuiderhoek
Leonard Lucieer
Annet Malherbe
Alex VanWarmerdam
Rudolf Lucieer
Loes Wouterson
Gerard Malanga
jean Smart
Tadeusz Lomnicki
Tadeusz Janczar
Krystyna Stypulnicki
Serge Moulin
Andrzej Lapicki
Bogumil Kobiela
Daniel Olbrychiski
Olgierd Lukaszewicz
Andrzej Seweryn
Wojciech Pszoniak
Lech Walesa
Wojciek Pszoniak
Piotr Lysak
Piotr Wawrzynczak
Tadeus Konwicki
James Belushi
Joe Pantolino
Laurence Fishburn
CarrieAnne Moss
Hogo Weaving
Michael StGerard
Joe deSantis
Hershel Bernardi
Everett Scott
Pascal Gregory
Meredith Edwards
Robert Flemyng
Patric Doonan
Peggy Evans
